original_id,original_acronym,original_name,target_id,target_acronym
137,CSl,Superior central nucleus raphe lateral part,1065,HB
138,LAT,Lateral group of the dorsal thalamus,1129,IB
139,ENTl5,Entorhinal area lateral part layer 5,822,RHP
140,AQ,cerebral aqueduct,73,VS
141,PVR,Periventricular region,1129,IB
143,AMBv,Nucleus ambiguus ventral division,1065,HB
144,OT1-3,Olfactory tubercle layers 1-3,623,CNU
145,V4,fourth ventricle,73,VS
146,PRNr,Pontine reticular nucleus,1065,HB
147,LC,Locus ceruleus,1065,HB
148,GU4,Gustatory areas layer 4,315,Isocortex
149,PVT,Paraventricular nucleus of the thalamus,1129,IB
151,AOB,Accessory olfactory bulb,698,OLF
152,PIR1-3,Piriform area layers 1-3,698,OLF
153,V4r,lateral recess,73,VS
154,PHY,Perihypoglossal nuclei,1065,HB
155,LD,Lateral dorsal nucleus of thalamus,1129,IB
156,AUDd6a,Dorsal auditory area layer 6a,315,Isocortex
157,PVZ,Periventricular zone,1129,IB
159,AON,Anterior olfactory nucleus,698,OLF
160,AON1,Anterior olfactory nucleus layer 1,698,OLF
161,NIS,Nucleus intercalatus,1065,HB
162,LDT,Laterodorsal tegmental nucleus,1065,HB
163,AIp2/3,Agranular insular area posterior part layer 2/3,315,Isocortex
164,c,central canal spinal cord/medulla,73,VS
165,RAmb,Midbrain raphe nuclei,313,MB
167,AONd,Anterior olfactory nucleus dorsal part,698,OLF
168,AON2,Anterior olfactory nucleus layer 2,698,OLF
169,PRP,Nucleus prepositus,1065,HB
170,LGd,Dorsal part of the lateral geniculate complex,1129,IB
171,PL1,Prelimbic area layer 1,315,Isocortex
173,RCH,Retrochiasmatic area,1129,IB
175,AONe,Anterior olfactory nucleus external part,698,OLF
177,NR,Nucleus of Roller,1065,HB
178,LGv,Ventral part of the lateral geniculate complex,1129,IB
179,ACA6a,Anterior cingulate area layer 6a,315,Isocortex
180,GU2/3,Gustatory areas layer 2/3,315,Isocortex
181,RE,Nucleus of reuniens,1129,IB
183,AONl,Anterior olfactory nucleus lateral part,698,OLF
184,FRP,Frontal pole cerebral cortex,315,Isocortex
185,PPYd,Parapyramidal nucleus deep part,1065,HB
186,LH,Lateral habenula,1129,IB
187,GU5,Gustatory areas layer 5,315,Isocortex
188,AOBgl,Accessory olfactory bulb glomerular layer,698,OLF
189,RH,Rhomboid nucleus,1129,IB
191,AONm,Anterior olfactory nucleus medial part,698,OLF
192,COAa1,Cortical amygdalar area anterior part layer 1,698,OLF
193,PPYs,Parapyramidal nucleus superficial part,1065,HB
194,LHA,Lateral hypothalamic area,1129,IB
195,PL2,Prelimbic area layer 2,315,Isocortex
196,AOBgr,Accessory olfactory bulb granular layer,698,OLF
197,RL,Rostral linear nucleus raphe,313,MB
199,AONpv,Anterior olfactory nucleus posteroventral part,698,OLF
200,COAa2,Cortical amygdalar area anterior part layer 2,698,OLF
201,SSp-bfd2/3,Primary somatosensory area barrel field layer 2/3,315,Isocortex
202,MV,Medial vestibular nucleus,1065,HB
203,LIN,Linear nucleus of the medulla,1065,HB
204,AOBmi,Accessory olfactory bulb mitral layer,698,OLF
206,RM,Nucleus raphe magnus,1065,HB
207,AP,Area postrema,1065,HB
208,COAa3,Cortical amygdalar area anterior part layer 3,698,OLF
